Standard Deviation of Differences: 26.652338
Mean Value of Absolute Values of Diffrences: 19.566282
Max Value of Absolute Values of Differences: 271.89612
 
  Real Values  |  Predictions  |  Differences  
   [92.84]        [113.85279]    [-21.012794]
   [115.07]       [134.93045]    [-19.86045] 
   [72.02]        [45.027557]    [26.99244]  
   [98.71]        [76.32022]     [22.389778] 
   [82.07]        [127.29141]    [-45.221413]
   [130.27]       [126.83344]    [3.4365616] 
   [113.76]       [109.21985]    [4.5401535] 
   [74.83]        [91.42526]     [-16.59526] 
   [130.53]       [142.57181]    [-12.041809]
   [15.4]         [8.20152]      [7.1984797] 
   [66.15]        [72.48626]     [-6.336258] 
   [82.7]         [122.71802]    [-40.01802] 
   [99.81]        [71.10986]     [28.700134] 
